time,generation biomass,generation hydro water reservoir,generation fossil hard coal,generation nuclear,generation solar
2014-12-31 23:00:00+00:00,447.0,1899.0,4821.0,7096.0,49.0
2015-01-01 00:00:00+00:00,449.0,1658.0,4755.0,7096.0,50.0
2015-01-01 01:00:00+00:00,448.0,1371.0,4581.0,7099.0,50.0
2015-01-01 02:00:00+00:00,438.0,779.0,4131.0,7098.0,50.0
2015-01-01 03:00:00+00:00,428.0,720.0,3840.0,7097.0,42.0
2015-01-01 04:00:00+00:00,410.0,743.0,3590.0,7098.0,34.0
2015-01-01 05:00:00+00:00,401.0,848.0,3368.0,7098.0,34.0
2015-01-01 06:00:00+00:00,408.0,1012.0,3208.0,7099.0,35.0
2015-01-01 07:00:00+00:00,413.0,1015.0,3335.0,7098.0,54.0
2015-01-01 08:00:00+00:00,419.0,1357.0,3437.0,7097.0,743.0
2015-01-01 09:00:00+00:00,422.0,1817.0,3516.0,7096.0,2019.0
2015-01-01 10:00:00+00:00,421.0,1516.0,3845.0,7097.0,3197.0
2015-01-01 11:00:00+00:00,428.0,1204.0,4220.0,7097.0,3885.0
2015-01-01 12:00:00+00:00,425.0,1286.0,4404.0,7099.0,4007.0
2015-01-01 13:00:00+00:00,423.0,1027.0,4256.0,7097.0,3973.0
2015-01-01 14:00:00+00:00,421.0,1151.0,4038.0,7096.0,3818.0
2015-01-01 15:00:00+00:00,422.0,1156.0,4191.0,7095.0,3088.0
2015-01-01 16:00:00+00:00,426.0,1626.0,4707.0,7095.0,1467.0
2015-01-01 17:00:00+00:00,427.0,3203.0,4756.0,7096.0,404.0
2015-01-01 18:00:00+00:00,442.0,5333.0,4918.0,7096.0,139.0
2015-01-01 19:00:00+00:00,445.0,6183.0,5025.0,7096.0,100.0
2015-01-01 20:00:00+00:00,443.0,6231.0,5043.0,7096.0,75.0
2015-01-01 21:00:00+00:00,440.0,5359.0,4990.0,7098.0,74.0
2015-01-01 22:00:00+00:00,438.0,3511.0,4942.0,7098.0,56.0
2015-01-01 23:00:00+00:00,368.0,3871.0,1291.0,7106.0,54.0
2015-01-02 00:00:00+00:00,368.0,2996.0,1190.0,7106.0,54.0
2015-01-02 01:00:00+00:00,358.0,2581.0,1023.0,7107.0,54.0
2015-01-02 02:00:00+00:00,353.0,2933.0,1016.0,7107.0,53.0
2015-01-02 03:00:00+00:00,354.0,2646.0,1103.0,7106.0,53.0
2015-01-02 04:00:00+00:00,354.0,2529.0,1120.0,7105.0,63.0
2015-01-02 05:00:00+00:00,357.0,2658.0,1167.0,7105.0,55.0
2015-01-02 06:00:00+00:00,357.0,2706.0,1067.0,7105.0,54.0
2015-01-02 07:00:00+00:00,359.0,3090.0,1098.0,7105.0,116.0
2015-01-02 08:00:00+00:00,357.0,3579.0,1293.0,7107.0,1039.0
2015-01-02 09:00:00+00:00,377.0,4289.0,1339.0,7107.0,2373.0
2015-01-02 10:00:00+00:00,376.0,4332.0,1335.0,7106.0,3699.0
2015-01-02 11:00:00+00:00,376.0,3619.0,1336.0,7104.0,4154.0
2015-01-02 12:00:00+00:00,373.0,3392.0,1341.0,7105.0,4074.0
2015-01-02 13:00:00+00:00,383.0,3487.0,1354.0,7105.0,3851.0
